Aufgabe;Deutung;Loesung;Antwort1;Antwort2;Antwort3;Antwort4;Antwort5;Antwort6;Antwort7;Antwort8;Antwort9
Teilnehmer;anja
test04;Ein Cluster hat sich aufgeteilt und existiert nicht mehr.;Ein Cluster hat sich aufgeteilt und existiert nicht mehr.;Cluster sind verschmolzen.;Ein Cluster hat sich aufgeteilt und existiert nicht mehr.;Projekte haben das Cluster gewechselt. Ihr altes Cluster exisitert noch.;Ein Cluster hat sich aufgeteilt und existiert noch.
test05;Cluster sind verschmolzen.;Cluster sind verschmolzen.;Cluster sind verschmolzen.;Projekte haben das Cluster gewechselt. Ihr altes Cluster exisitert noch.;Ein Cluster hat sich aufgeteilt.;Ein Cluster ist mitsamt der Projekte verschwunden.
test06;Projekte haben das Cluster gewechselt.;Projekte haben das Cluster gewechselt.;Projekte haben das Cluster gewechselt.;Ein Cluster hat sich aufgeteilt und existiert nicht mehr.;Ein neues Cluster ist hinzu gekommen.;Cluster sind verschmolzen.
test07;Ein Cluster hat sich aufgeteilt und ein neues ist entstanden.;Ein Cluster hat sich aufgeteilt und ein neues ist entstanden.;Ein Cluster hat sich aufgeteilt und ein neues ist entstanden.;Ein Projekt ist hinzu gekommen und hat ein neues Cluster gebildet.;Ein Projekt ist zu einem anderem, existierenden Cluster gewechselt.;Ein Cluster hat ein Projekt an ein anderes existierendes abgegeben.
test08;Cluster haben sich bewegt und verformt.;Cluster haben sich bewegt und verformt.;Cluster sind verschmolzen.;Cluster haben sich aufgeteilt.;Cluster haben sich bewegt und verformt.;Projekte haben das Cluster gewechselt.
test09;Projekte sind verschwunden und beeinflussten nicht die Hüllenform.;Projekte sind verschwunden und beeinflussten nicht die Hüllenform.;Projekte sind verschwunden und beeinflussten nicht die Hüllenform.;Die Cluster haben sich verschoben, aber die Form blieb unverändert.;Das Verschwinden von Projekten beeinflusste die Hüllenform.;Die Hüllenform hat sich bei konstanter Projektzahl verändert.
test10;Neue Projekte kamen hinzu. Sie haben die Hüllenform nicht beeinflusst.;Neue Projekte kamen hinzu. Sie haben die Hüllenform nicht beeinflusst.;Die Cluster haben sich verschoben, aber die Form blieb unverändert.;Neue Projekte kamen hinzu. Sie haben die Hüllenform nicht beeinflusst.;Neue Projekte kamen hinzu und veränderten die Hüllenform.;Die Hüllenform hat sich bei konstanter Projektzahl verändert.
test11;Neue Projekte kamen hinzu und veränderten die Hüllenform.;Neue Projekte kamen hinzu und veränderten die Hüllenform.;Neue Projekte kamen hinzu. Sie haben die Hüllenform nicht beeinflusst.;Die Cluster haben sich verschoben, aber die Form blieb unverändert.;Neue Projekte kamen hinzu und veränderten die Hüllenform.;Die Hüllenform hat sich bei konstanter Projektzahl verändert.
test12;Neue Projekte haben ein neues Cluster erzeugt.;Neue Projekte haben ein neues Cluster erzeugt.;Projekte kamen hinzu, aber die Clusterzahl blieb konstant.;Neue Projekte haben ein neues Cluster erzeugt.;Ein Cluster hat sich aufgeteilt.;Alte Projekte haben ein neues Cluster erzeugt.
test13;Das Verschwinden von Projekten beeinflusste die Hüllenform.;Das Verschwinden von Projekten beeinflusste die Hüllenform.;Das Verschwinden von Projekten beeinflusste die Hüllenform.;Projekte sind verschwunden und beeinflussten nicht die Hüllenform.;Die Hüllenform hat sich bei konstanter Projektzahl verändert.;Die Cluster haben sich verschoben, aber die Form blieb unverändert.
test14;5,5;5
test15;Transition; ;Transition;Überblendung;egal / weiß nicht
test16;1000; ;500;750;1000;1250;1500;1750;2000;2250;2500
