Aufgabe;Duration
Person;D
Clusterzahl;4
test01;750,750,750,750,750,750,750,750
test02;750,750,750,750,750,750,750,750
test03;750,750,750,750,750,750,750,750,750,750,750
test04;750,750,750,750
test05;750,750,750,750,750,750,750,3000,3000,3000,3000,750
test06;750,750,750,750,750,750,750,750,750,750,750,750,750,750,3000,3000,750
test07;750,750,750,750,750,750,3000,750
test08;750,750,750,750,750,750,750,3000,750,3000,750,750,750,750,3000,750,750,750,750,750
test09;750,750,750,750,3000,3000,3000,3000,3000,3000,3000,3000,3000,750,250,750,2000,1500,1500,1500
test10;750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
test11;750,1500,1500,1500,1500,1500,1500,1500,750,750,750,750,750,750,750,750,750,750,750,750,750,3000,3000
test12;750,750,750,750,750,750,3000,3000,3000,3000,1500,1500,1500,1500,1500,1500,1500,1500,3000,3000,3000,3000,1500,0,0,3000
test13;750,750,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
test14;750,1500,1500,1500,1500,1500,3000,3000,3000,3000,3000,3000,1250,3000
