Aufgabe;Duration
Person;A
Clusterzahl;3
test01;750,1750,1750,1750,1750,1750,1750,1750,1750,1750
test02;750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750
test03;750,750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750
test04;750,750,1750,1750,1750,1750
test05;750,750,750,750,750
test06;750,750,750,750,750
test07;750,750,750,2000,2000,2000,2000
test08;750,750,1750,1750,1750,1750,1750,2500,2500,2500,2750,3000
test09;750,750,750,750,750,2500,2500,2500,2500,2500,2500,2500
test10;750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,3000,3000,3000,3000,3000
test11;750,750,750,750,750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
test12;750,750,750,1750,1750,1750,2500,2500,2500,3000,3000,3000,3000,2000,3000,3000,0,0,0,0,0
test13;0,0,0,0,1750,1750,1750,1750
test14;750
