Aufgabe;Duration
Person;C
Clusterzahl;4
test01;3000
test02;3000,3000,3000,3000
test03;3000
test04;3000,3000,3000,3000,3000,3000,3000,3000,3000
test05;3000,3000,3000,3000,3000
test06;3000,3000,3000
test07;3000,3000,3000,3000,3000,3000
test08;3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
test09;3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
test10;3000,3000,3000,3000,3000,3000
test11;3000,3000,3000,3000,3000,3000,3000
test12;3000,3000,1250,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1000,2000,1000,2000,1000,1000,3000
test13;0,0,1000,1000,2000,1250,3000,1250,1250,1250,1250,1250,1250,1250
test14;1000,1000,1000,1000,1000,2250
